split,period,subject_id,run,residual_mse,stable_mse,dynamic_mse,lag1_pearson,first_difference_mse
train,full,100206,LR,0.16968328512726122,0.02888572268998051,0.1407975624372807,0.9641921655382397,0.010107131665488937
train,full,100408,LR,0.3493500314777164,0.22785561593639986,0.12149441554131661,0.9657721896166396,0.008305391671075265
train,full,100610,LR,0.15408565355350098,0.03238854841607144,0.12169710513742954,0.9595711768151837,0.009860268009015035
train,full,101309,LR,0.14958526544499054,0.02896895889389359,0.12061630655109694,0.9558644461617799,0.010653523165781161
train,full,101410,LR,0.16759410065865896,0.05793574347308684,0.10965835718557213,0.9603505653905159,0.008705668769163077
train,full,101915,LR,0.19067576587124774,0.05362928638807836,0.1370464794831694,0.967317465182995,0.008973059601757831
train,full,102008,LR,0.2574763463960563,0.1248432180288849,0.13263312836717145,0.966306228260671,0.008903320620739098
train,full,102311,LR,0.18792637360270434,0.0816220132472766,0.10630436035542777,0.9582860085094663,0.008873522547553733
train,full,102513,LR,0.1841745228384223,0.0353462218774677,0.1488283009609546,0.9680929648224741,0.009504273877539418
train,full,102715,LR,0.15834386953886992,0.03967398086571545,0.11866988867315449,0.9605271629313692,0.00937651285473111
train,full,102816,LR,0.1882998513378312,0.06991147206265591,0.11838837927517526,0.9594984221923737,0.009594338133800234
train,full,103010,LR,0.16511142150727767,0.03717071773241868,0.12794070377485897,0.9668052886831272,0.008505082551859175
train,full,103111,LR,0.16577110379804194,0.049156021245398765,0.11661508255264319,0.957936597871342,0.009821450724559314
train,full,103414,LR,0.15876100366156173,0.05139766585510072,0.107363337806461,0.9584519314149959,0.008935590817531909
train,full,103515,LR,0.18951076896456717,0.07184406074755859,0.11766670821700856,0.9621152782541902,0.008921308896860717
train,full,103818,LR,0.1740180897929096,0.06443305833043622,0.10958503146247343,0.9646060022784374,0.007764867042992359
train,full,104416,LR,0.15438780637307062,0.04021307284577899,0.11417473352729163,0.9612166315015757,0.008871016587655638
train,full,104820,LR,0.19342582598449026,0.04367511870026764,0.14975070728422263,0.9678642328024298,0.009638044106014609
train,full,105014,LR,0.15070371454102333,0.03377361690052874,0.1169300976404946,0.9575856289158504,0.009925511216248592
train,full,105115,LR,0.18575456988706876,0.06464632770768017,0.1211082421793886,0.9620104271063081,0.009206297481187118
train,full,105216,LR,0.17931270391069506,0.05488187824282297,0.12443082566787214,0.958465123739715,0.010353114713079058
train,full,105620,LR,0.17879901666522957,0.048206010648379094,0.1305930060168505,0.9654762206472002,0.009035022557781732
train,full,105923,LR,0.1556985110409192,0.04701163059261165,0.10868688044830754,0.9593136115846238,0.008858634702587643
train,full,106016,LR,0.1957768858582738,0.0627193828489596,0.1330575030093142,0.9604292132886926,0.01054796851319699
train,full,106319,LR,0.3310275127253683,0.1375550378868681,0.19347247483850027,0.9760200575489827,0.009283840405498872
train,full,106824,LR,0.22867854096089477,0.05779212510127561,0.17088641585961917,0.9676665239148983,0.011056355958372253
train,full,107321,LR,0.13795242594400964,0.03558034574190577,0.10237208020210387,0.9603234276505123,0.008133765960015122
train,full,107422,LR,0.187039562596197,0.06120020461041954,0.12583935798577747,0.9551460425192995,0.011300200033802988
train,full,108020,LR,0.2361703432108288,0.05374972199410969,0.18242062121671906,0.9750695462999593,0.009092569523443257
train,full,108222,LR,0.23005277711174765,0.07447701451809144,0.1555757625936562,0.9704225041836201,0.00922547565266418
train,full,108828,LR,0.23064995407751634,0.08946776529506906,0.14118218878244734,0.9672661568496694,0.009235918220711964
train,full,109123,LR,0.17247429790103866,0.04299999553585149,0.12947430236518714,0.9637502563962431,0.009403092011035109
train,full,109830,LR,0.14030765737191475,0.035184098323784635,0.1051235590481301,0.9623748134386627,0.007923273144662726
train,full,110007,LR,0.15373543529747266,0.04246555214184354,0.1112698831556291,0.9615949066604065,0.0085505965218567
train,full,110411,LR,0.14440262439630908,0.024310706004364975,0.12009191839194411,0.9585638949019597,0.009969053206708784
train,full,110613,LR,0.21055720666201458,0.04022960133309662,0.17032760532891794,0.9711886509948976,0.009830088381542642
train,full,111211,LR,0.20072795554187467,0.07854954847531356,0.12217840706656116,0.9640058504626715,0.008812493940180547
train,full,111312,LR,0.15440261206736747,0.04278888815258659,0.11161372391478087,0.9606239853101097,0.008777376343185341
train,full,111514,LR,0.18674401326191825,0.07352460732774603,0.11321940593417222,0.9590651844739145,0.009277207233327504
train,full,111716,LR,0.1683135034246626,0.05497128777305739,0.11334221565160524,0.9565359297918704,0.009862309913914727
train,full,112112,LR,0.2045167008141544,0.03629725250752841,0.168219448306626,0.9701136623192601,0.010074111310059856
train,full,112314,LR,0.1778472136493378,0.03649560223312004,0.1413516114162178,0.9657032398083201,0.009701345543329586
train,full,112516,LR,0.15623221763713777,0.03783662586651595,0.11839559177062182,0.963669032121553,0.008618040350625885
train,full,112819,LR,0.13462309888674534,0.02846568933032169,0.10615740955642364,0.9583917983482878,0.008835740652751651
train,full,112920,LR,0.32655547203320623,0.14793715061201618,0.17861832142119002,0.9708057631355411,0.010433601153642247
train,full,113215,LR,0.17198084085248536,0.048111093448265196,0.12386974740422015,0.9602016822347516,0.009854725398688542
train,full,113316,LR,0.15996055205610848,0.037343822824851776,0.12261672923125672,0.9618527768516348,0.009351886478377498
train,full,113619,LR,0.15125420971293124,0.023965418745164318,0.12728879096776693,0.9613404416085234,0.00985993852755588
train,full,113922,LR,0.16382951916175828,0.04485163193146972,0.11897788723028856,0.9637547211337355,0.008627693834402386
train,full,114217,LR,0.16721414319381997,0.047169451475944126,0.12004469171787584,0.9585752611675946,0.00995667405184024
train,full,114419,LR,0.16673582432544082,0.05325767668801302,0.1134781476374278,0.9608660339167875,0.008881354899584963
train,full,115017,LR,0.13576248809787972,0.030986964809490983,0.10477552328838874,0.9582166166282854,0.008767255077205377
train,full,115219,LR,0.16121107327470377,0.03298833841810608,0.1282227348565977,0.9630243472151742,0.009492946656282922
train,full,115320,LR,0.18640133906660686,0.06759086578707002,0.11881047327953684,0.9625816820725552,0.008882632172022066
train,full,115724,LR,0.19126808460301667,0.08546899848860083,0.1057990861144158,0.9595914905841658,0.008562040078606168
train,full,115825,LR,0.15617777426994714,0.03910042394867967,0.11707735032126748,0.9624221757027467,0.008810509292918576
train,full,116423,LR,0.1748348166464098,0.03734578735461586,0.13748902929179396,0.9625240295686006,0.0103139785895163
train,full,116726,LR,0.18194246021543048,0.06268582042067083,0.11925663979475964,0.9578748145966706,0.010057402060906308
train,full,117021,LR,0.1676833990006497,0.04904569535146518,0.11863770364918454,0.9635024400784976,0.008664746157187942
train,full,117324,LR,0.17644218835040112,0.049267279920548024,0.12717490842985313,0.9646649941003035,0.008971607690506422
train,full,117930,LR,0.14985657516836842,0.03611734051193854,0.11373923465642986,0.9642519318617676,0.008139178829943227
train,full,118023,LR,0.29022500146011804,0.09895647499116539,0.19126852646895262,0.9739844466413555,0.009940175349554884
train,full,118124,LR,0.22394282116737615,0.11051082862604532,0.11343199254133082,0.9609853092553293,0.008853853945992066
train,full,118225,LR,0.18078958747123886,0.03489405524508611,0.14589553222615279,0.9609188358472877,0.01142992143129471
train,full,118730,LR,0.1596425170289235,0.047248220329846775,0.11239429669907673,0.9602823281288176,0.008942102988342795
train,full,118932,LR,0.16007395172099487,0.044761630884823204,0.11531232083617166,0.9608578738566108,0.009030222267714832
train,full,119025,LR,0.20103787908983178,0.0836723730892542,0.1173655060005776,0.9598955541908964,0.009421443391146516
train,full,119126,LR,0.1699554396320647,0.05765358033851836,0.11230185929354633,0.9577229310013278,0.009504499418320225
train,full,120111,LR,0.15706213996375015,0.051432654893267586,0.10562948507048255,0.9586991083467695,0.008737092597645588
train,full,120212,LR,0.18189075989682563,0.06749010148213752,0.11440065841468809,0.9591095100105143,0.009361322008742463
train,full,120414,LR,0.16175411356250832,0.03408100591245432,0.12767310765005402,0.964705370728156,0.009028050360889118
train,full,120515,LR,0.17419603632617578,0.0396510649440405,0.13454497138213528,0.963369201482636,0.00986295541065399
train,full,120717,LR,0.16818173634993316,0.04582004156682617,0.122361694783107,0.9642651162926075,0.008763288113541374
train,full,121416,LR,0.2321654061888062,0.08579968643356158,0.14636571975524462,0.9674859423388861,0.00953017716999408
train,full,121719,LR,0.1926688538837341,0.05804897272548239,0.1346198811582517,0.9669813101933045,0.008904760172200056
train,full,121921,LR,0.22080135064462508,0.06426298355810421,0.15653836708652089,0.9660336620898251,0.010649950364102479
train,full,122620,LR,0.15637591274664267,0.0393503435323745,0.11702556921426814,0.9597650938029905,0.009423263223151067
train,full,122822,LR,0.1741143643340926,0.061513029008102016,0.11260133532599058,0.9626010018479273,0.00843768543795453
train,full,123420,LR,0.1537663780786249,0.046144265007394485,0.10762211307123037,0.9589882251813463,0.008837648101075275
train,full,123824,LR,0.23785741179451458,0.08118714145338822,0.15667027034112635,0.9698690140282291,0.009434585694615362
train,full,124220,LR,0.17683183442971634,0.043504660282652485,0.13332717414706385,0.9658984083588177,0.009106643907252004
train,full,124422,LR,0.16586871826932656,0.054030668779814106,0.11183804948951248,0.9593528236814717,0.00909845172210754
train,full,124826,LR,0.20120160721483288,0.07795270696114558,0.1232489002536873,0.96344754823982,0.009017980612934972
train,full,125222,LR,0.146492462999272,0.031948045726598685,0.1145444172726733,0.9572646503225684,0.009786840291626263
train,full,125424,LR,0.18083265090824371,0.049987630293772345,0.13084502061447134,0.9600739584812561,0.010469312569366528
train,full,125525,LR,0.1770546732843642,0.0476268172342774,0.1294278560500868,0.9636474003464898,0.00942078927798414
train,full,126628,LR,0.2793500273031069,0.16491702242626777,0.11443300487683908,0.9653550313798966,0.007930031924178389
train,full,127226,LR,0.1910347046221099,0.06384789717754223,0.12718680744456767,0.9619654419998216,0.009659109189867848
train,full,127327,LR,0.17907479364430595,0.07061988369312962,0.10845490995117633,0.958340920354686,0.009042625986816736
train,full,127630,LR,0.184153308429576,0.05132128375650069,0.13283202467307534,0.9642095810105369,0.00951591705807127
train,full,127731,LR,0.17968529953320259,0.06679637089754954,0.11288892863565306,0.9586870357853821,0.009330928099429337
train,full,127832,LR,0.1943426469205331,0.052925493417836755,0.14141715350269635,0.9643536057455161,0.010105487782736806
train,full,127933,LR,0.18207482576112616,0.05911817779913285,0.1229566479619933,0.9603558485479691,0.009756873753601972
train,full,128026,LR,0.18201090904357853,0.036124249698013824,0.1458866593455647,0.9612373115591019,0.011315147162703178
train,full,128127,LR,0.20641346097723753,0.06914636848578712,0.13726709249145044,0.9631011657845738,0.010147371412947293
train,full,128632,LR,0.22836492183085255,0.10031309266685139,0.12805182916400115,0.9646964624142322,0.009055641675415832
train,full,129028,LR,0.14449788547122447,0.03612751014053775,0.1083703753306867,0.9596115362243022,0.008755551919327203
train,full,129129,LR,0.16771864353534668,0.0414678306857447,0.126250812849602,0.9632244889014889,0.009294460104226502
train,full,129634,LR,0.18147043586974687,0.05938726991438903,0.12208316595535783,0.9603014688014326,0.009704549597852186
train,full,129937,LR,0.14446902181052768,0.042781726189275775,0.10168729562125191,0.9586751881622966,0.008404091608249271
train,full,130013,LR,0.15592621240874127,0.029487239836216296,0.12643897257252498,0.9595685436107876,0.010235635327043854
train,full,130316,LR,0.146845042420486,0.03352168707524534,0.11332335534524063,0.9604337274184483,0.008976553715537763
train,full,130417,LR,0.16239616198479903,0.04157419616874431,0.12082196581605474,0.9585576540717452,0.010027216719150502
train,full,130518,LR,0.1834839792705941,0.04525106543961526,0.13823291383097883,0.9633854211638959,0.010128859531590486
train,full,130619,LR,0.15605432948203798,0.03901337589873903,0.11704095358329895,0.9589685979049167,0.009624058425955373
train,full,130720,LR,0.2712505903536605,0.05431572467290803,0.21693486568075246,0.9662240617558605,0.0146903067139363
train,full,130821,LR,0.19769463067016005,0.09048867756109888,0.10720595310906116,0.9591998937717275,0.008739155341500836
train,full,131419,LR,0.17343393552653966,0.03500762695815675,0.13842630856838287,0.9641200031199025,0.009955488384894094
train,full,131722,LR,0.1624666542175308,0.038065278545575364,0.12440137567195544,0.9601201203392179,0.009907417455346096
train,full,131823,LR,0.1638792139860106,0.030327804636006282,0.13355140935000434,0.9606210966706008,0.010538841457115151
train,full,131924,LR,0.167345333738983,0.03845167324585244,0.12889366049313059,0.9647536096649967,0.009105603657333181
train,full,132017,LR,0.16617178669709523,0.042015818144665075,0.12415596855243018,0.9652764879623197,0.008637682421409509
train,full,132118,LR,0.15954376128950234,0.043730339441574256,0.11581342184792809,0.9564933069922821,0.010087240772712738
train,full,133019,LR,0.19504606561017307,0.08249005313639625,0.11255601247377682,0.966001907691152,0.0076380528116364805
train,full,133928,LR,0.32113442767996137,0.1910647837842385,0.1300696438957229,0.9666616583320439,0.008661313003540484
train,full,134021,LR,0.22163974175756668,0.10262281849375848,0.11901692326380822,0.9606794250953807,0.009366600764281622
train,full,134324,LR,0.1436256558266557,0.029457997749640683,0.11416765807701501,0.9613260949213979,0.00884274513745251
train,full,134425,LR,0.16028236655509817,0.027263968113405944,0.13301839844169222,0.9653773206920788,0.00922422298006571
train,full,134627,LR,0.16351950410874735,0.03108916007763054,0.13243034403111678,0.9645433149586082,0.009396312596959066
train,full,134829,LR,0.1873011977645153,0.03967909946939188,0.14762209829512338,0.9658742811139543,0.010093585045664911
train,full,135225,LR,0.18933699653603248,0.04896698478537663,0.14037001175065583,0.9671734109645473,0.00923145419159908
train,full,135528,LR,0.15168569302025395,0.04650266655080171,0.10518302646945224,0.9605628212393743,0.008307400036247104
train,full,135730,LR,0.16876865569863275,0.02960958153442759,0.13915907416420514,0.9647764454884556,0.009821617629855601
train,full,135932,LR,0.17965850452097648,0.03900873211275408,0.14064977240822243,0.9686909032997497,0.008803094897536806
train,full,136126,LR,0.17213235896917864,0.04465421106135564,0.12747814790782303,0.9627362695640623,0.00951285016144132
train,full,136227,LR,0.19173698154814808,0.050136532591488134,0.14160044895665994,0.9660758682778001,0.009623092243127079
train,full,136732,LR,0.14757187148718395,0.02815458482822863,0.11941728665895533,0.9650432180036332,0.008364556990020217
train,full,137027,LR,0.15276651293659488,0.04075726329166245,0.11200924964493243,0.9574958587186101,0.009535199627352426
train,full,137128,LR,0.16657638801625363,0.04472685585153461,0.12184953216471901,0.9618299316267075,0.00930333288444796
train,full,137229,LR,0.21609318642381095,0.08700562900007751,0.1290875574237334,0.9608920700992637,0.010085228820207638
train,full,137633,LR,0.1793659334707084,0.041836735720718214,0.13752919774999017,0.9669956626467797,0.009087185887345223
train,full,137936,LR,0.21552376981924648,0.0751172856157198,0.14040648420352667,0.9635672376138648,0.01023722712374806
train,full,138130,LR,0.18506618724674515,0.052284154960666414,0.13278203228607874,0.9598795132165875,0.010654344690621344
train,full,139435,LR,0.19503597408051934,0.0500484677933804,0.14498750628713897,0.9631908265574817,0.010693200543509505
train,full,139637,LR,0.15573864728839804,0.03836979263911614,0.11736885464928189,0.9622449856301316,0.008867696847046623
train,full,139839,LR,0.1669274696115887,0.04591898430503311,0.1210084853065556,0.9638088492001957,0.00877028235564866
train,full,140117,LR,0.15226470418213883,0.03470459598434604,0.11756010819779279,0.9607507573611214,0.009245041912262296
train,full,140319,LR,0.1662226611528941,0.03563027246098999,0.13059238869190412,0.9602152267007861,0.010408290672668083
train,full,140824,LR,0.19600435956259699,0.05494232619554576,0.14106203336705123,0.9643137057626878,0.010082462107886872
train,full,140925,LR,0.20096629708761346,0.027217195584523613,0.17374910150308986,0.9735142194842309,0.009213744468624963
train,full,141119,LR,0.20625163112241568,0.07214864978065771,0.134102981341758,0.9629512021607496,0.009929383170287517
train,full,141422,LR,0.1440507779763577,0.03767937902718069,0.10637139894917702,0.9603960310641373,0.008433782684296167
train,full,141826,LR,0.1491048685648485,0.028567185699857202,0.1205376828649913,0.95828320531409,0.010073728216566366
train,full,142828,LR,0.2607633072565605,0.10830378860529302,0.15245951865126742,0.9678937607293022,0.009788197748047242
train,full,143224,LR,0.19861927924190545,0.09260859380612432,0.10601068543578114,0.96144053122614,0.008184750684581507
train,full,143325,LR,0.16905279192614978,0.06611559943257174,0.10293719249357805,0.9591195965746176,0.008421198821072512
train,full,143830,LR,0.16396463379751586,0.023519239801035808,0.14044539399648007,0.9612247754797918,0.010915545090486537
train,full,144226,LR,0.12330660814636567,0.027089564155539272,0.0962170439908264,0.9560551163949883,0.008461384028407045
train,full,144832,LR,0.14880568438600503,0.033976813481155985,0.11482887090484904,0.9608050603674171,0.009016792920916878
train,full,145127,LR,0.1555296155602785,0.04120453192723481,0.1143250836330437,0.962458670119489,0.008592129681074378
train,full,145834,LR,0.19672548923844782,0.06792033880868095,0.12880515042976684,0.9649769788394519,0.0090260187113905
